id_pregunta;texto;id_tarjeta
90;Which German composer wrote "The Ring of the Nibelung"?;30
91;What is the largest organ in the human body?;1
92;What is the name of the subatomic particle with a negative charge?;2
93;Which equation represents Einstein’s Special Theory of Relativity?;3
94;In what year was the Declaration of Independence of the United States signed?;4
95;Which of the following battles is considered a turning point on the Eastern Front during World War II?;5
96;Which reform, implemented by Emperor Diocletian, reorganized the Roman Empire into a system known as the Tetrarchy?;6
97;What is the capital of Australia?;7
98;What is the longest river in Europe?;8
99;Which country has the most islands in the world?;9
100;Which country has won the most FIFA World Cups?;10
101;Which swimmer holds the record for the most Olympic medals won?;11
102;In what year was the first edition of the Rugby World Cup held?;12
103;Who wrote Don Quixote?;13
104;Which artistic movement is associated with Pablo Picasso and Georges Braque?;14
105;What is the oldest known epic in world literature?;15
106;What is the superhero alter ego of Bruce Wayne?;16
107;In what year was the first Harry Potter movie released?;17
108;Who composed the soundtrack for The Lord of the Rings trilogy?;18
109;What is an SSD in computing?;19
110;Which of the following protocols is used for secure file transfer over the Internet?;20
111;In what year was the first version of the Python programming language released?;21
112;What is 15 - 7?;22
113;What is the value of 2⁵?;23
114;How many combinations can be formed by choosing 3 elements from a set of 7?;24
115;Which country is famous for its tulips and windmills?;25
116;What is the national animal of Scotland?;26
117;What literary work is considered the world's first novel, written during the Heian period in Japan?;27
118;Which British band is known for hits like Hey Jude and Let It Be?;28
119;Which reggae artist is world-famous for songs like No Woman, No Cry?;29
120;What was the first music video aired on MTV?;30
121;Which planet is known as the "Red Planet"?;1
122;What is the approximate speed of light in a vacuum?;2
123;In quantum mechanics, what phenomenon allows a particle to pass through a potential barrier without having the classical required energy?;3
124;Which civilization built the Pyramids of Giza?;4
125;Which civilization built the city of Tenochtitlán?;5
126;In what year did Constantinople fall to the Ottoman Empire?;6
127;What is the capital of Canada?;7
128;What is the largest freshwater lake in the world by surface area?;8
129;What is the longest continental mountain range in the world?;9
130;How many players are on a volleyball team on the court during a match?;10
131;Which country has won the most medals in the history of the Winter Olympic Games?;11
132;In what year was the National Football League (NFL) founded?;12
133;Who painted The Starry Night?;13
134;Who is the author of The Picture of Dorian Gray?;14
135;Which Chilean poet won the Nobel Prize in Literature in 1971?;15
136;Who played Jack Dawson in the movie Titanic?;16
137;Which director is known for his visually unique style in movies like The Grand Budapest Hotel?;17
138;Which Spanish film won the Academy Award for Best Foreign Language Film in 2000?;18
139;What does the acronym "RAM" stand for in computing?;19
140;What device allows a computer to connect to a wireless network?;20
141;What is blockchain technology, and what is it primarily used for?;21
142;What is 9 × 6?;22
143;What is the square root of 64?;23
144;What number is missing in the following sequence: 2, 6, 12, 20, ...?;24
145;Who invented the printing press?;25
146;Which country is the birthplace of tango?;26
147;In what year was the Treaty of Tordesillas signed?;27
148;What is the stage name of the rapper known as "Slim Shady"?;28
149;Which band is known for the song Hotel California?;29
150;Which classical composer wrote the opera The Magic Flute?;30
151;What chemical element has the symbol "O"?;1
152;What unit is used to measure force in the International System of Units?;2
153;Which of the following is not a fundamental interaction of nature?;3
154;Who was the leader of the Russian Revolution of 1917?;4
155;In what year was the Berlin Wall taken down?;5
156;What event triggered World War I?;6
157;What is the most populous country in the world?;7
158;What is the largest non-polar desert in the world?;8
159;What is the largest peninsula in the world?;9
160;How many players are on a rugby union team on the field?;10
161;In what year was the first Formula 1 season held?;11
162;In what year were the first Paralympic Games held?;12
163;Who painted Guernica?;13
164;Which play tells the tragedy of the Danish prince?;14
165;Who wrote the novel Hopscotch?;15
166;In which animated movie does a toy cowboy named Woody appear?;16
167;Which 1994 movie, based on a Stephen King novel, tells the story of two imprisoned men?;17
168;In what year was Metropolis, directed by Fritz Lang and considered a milestone in silent science fiction cinema, released?;18
169;Which computer component is responsible for executing a program's instructions?;19
170;Which programming language was created by James Gosling and released in 1995?;20
171;In software development, what does the acronym "API" stand for?;21
172;What is 20 ÷ 5?;22
173;If Ana has 3 times as many pencils as Carlos, and Carlos has 5 pencils, how many pencils does Ana have?;23
174;What is the next number in the sequence: 3, 5, 9, 17, ...?;24
175;Which country is famous for flamenco dancing?;25
176;What is the official currency of Japan?;26
177;Which famous Gothic cathedral, located in central Paris and a central setting in Victor Hugo's novel about a hunchback, is world-renowned for its imposing architecture?;27
178;Which musical genre, characterized by improvisation and syncopated rhythms, originated in New Orleans?;28
179;Which American singer is known as "The Voice of Soul"?;29
180;Which innovative jazz musician, a pioneer of free jazz, is recognized for his album Free Jazz: A Collective Improvisation?;30
181;Which organ in the human body is responsible for pumping blood?;1
182;Which metal is liquid at room temperature?;2
183;What is the name of the process by which plants convert sunlight into chemical energy?;3
184;In what year was the Battle of Hastings fought?;4
185;Who was the first emperor of Rome?;5
186;Who is recognized as the initiator of the Protestant Reformation by nailing his 95 Theses in 1517?;6
187;What is the largest country in South America by land area?;7
188;Which ocean borders the west coast of the United States?;8
189;What is the name of the deepest known point in the ocean?;9
190;In which sport is the term "love" used to indicate a score of zero?;10
191;How many minutes does an official NBA game last?;11
192;Who holds the record for the most pole positions in Formula 1 history?;12
193;Who wrote The Little Prince?;13
194;Which novel, written by F. Scott Fitzgerald, is considered a critique of the American high society of the 1920s?;14
195;Which English poet is known for his work Paradise Lost?;15
196;In which Disney animated movie can the song Let It Go be heard?;16
197;In which 2010 film, directed by Christopher Nolan, is the concept of dreaming within dreams explored?;17
198;Which Japanese animated film, directed by Hayao Miyazaki, won the Academy Award for Best Animated Feature in 2003?;18
199;Which wireless technology is commonly used for contactless payments via mobile devices?;19
200;What does the acronym "IoT" stand for in the context of technology?;20
201;Which software, used in data centers, enables server virtualization by creating multiple virtual machines on a single physical server?;21
202;What is 12 + 8?;22
203;If a triangle has two angles of 35° each, how many degrees is the third angle?;23
204;What is the next number in the sequence: 4, 7, 11, 16, ...?;24
205;What is the coldest place on Earth?;25
206;In which city did the Olympic Games originate?;26
207;What is the national anthem of France called?;27
208;Who is known as the "Father of the Blues"?;28
209;Which wind instrument is essential in traditional New Orleans jazz?;29
210;Which American composer and pianist fused jazz with elements of classical music and is the author of Rhapsody in Blue?;30
